name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Maruti Wagon R 2016,2016,3.08,106549.0,Diesel,Individual,Automatic,First Owner
Tata Altroz 2008,2008,1.02,220000.0,diesel,Individual,Manual,First Owner
Skoda Rapid 2016,2016,4.86,113735.0,PETROL,Dealer,Manual,First Owner
Volkswagen Vento 2019,2019,4.5,60932.0,Diesel,Dealer,Manual,Fourth & Above Owner
Honda City 2015,2015,3.3,142188.0,diesel,Individual,Manual,First Owner
Toyota Fortuner 2011,2011,3.41,188532.0,petrol,Individual,Manual,First Owner
Maruti Baleno 2011,2011,1.13,194866.0,Diesel,Individual,Manual,Second Owner
Maruti Alto 2008,2008,0.95,220000.0,cng,Trustmark Dealer,Automatic,First Owner
Toyota Innova 2010,2010,3.64,200434.0,petrol,Dealer,Automatic,Second Owner
Renault Duster 2021,2021,2.75,34019.0,PETROL,Individual,Manual,Fourth & Above Owner
Toyota Fortuner 2015,2015,6.28,129928.0,Diesel,Individual,Manual,Second Owner
Honda City 2014,2014,2.98,125248.0,Diesel,Trustmark Dealer,Manual,Second Owner
Mahindra Scorpio 2021,2021,11.69,40725.0,Diesel,Dealer,Automatic,First Owner
Toyota Glanza 2012,2012,3.48,169235.0,Petrol,Individual,Manual,First Owner
Honda WR-V 2009,2009,1.79,220000.0,Petrol,Individual,Manual,First Owner
Volkswagen Taigun 2010,2010,1.41,200986.0,cng,Individual,Manual,Second Owner
Toyota Etios 2007,2007,2.51,220000.0,petrol,Trustmark Dealer,Manual,First Owner
Hyundai i20 2017,2017,3.72,95049.0,diesel,Trustmark Dealer,Manual,First Owner
Toyota Etios 2022,2022,10.78,33500.0,cng,Dealer,Manual,Fourth & Above Owner
Tata Nexon 2019,2019,3.93,62740.0,petrol,Individual,Manual,Second Owner
Hyundai Venue 2021,2021,4.95,48020.0,LPG,Individual,Manual,First Owner
Renault Duster 2013,2013,1.35,179062.0,Petrol,Individual,Automatic,Second Owner
Hyundai Venue 2010,2010,1.57,180071.0,PETROL,Dealer,Manual,First Owner
Maruti Dzire 2013,2013,2.1,139031.0,Diesel,Dealer,Automatic,First Owner
Mahindra XUV500 2015,2015,3.87,121881.0,cng,Individual,Manual,First Owner
Toyota Fortuner 2010,2010,3.37,189174.0,petrol,Individual,Manual,First Owner
Mahindra Bolero 2018,2018,5.96,69481.0,Diesel,Individual,Manual,First Owner
Ford Endeavour 2020,2020,5.5,69097.0,diesel,Dealer,Manual,First Owner
Toyota Innova 2011,2011,3.21,192024.0,cng,Individual,Manual,First Owner
Tata Nexon 2008,2008,1.02,220000.0,diesel,Individual,Manual,Second Owner
Maruti Dzire 2022,2022,4.48,3633.0,Petrol,Individual,Manual,Third Owner
Honda Jazz 2014,2014,2.68,149067.0,CNG,Individual,Manual,First Owner
Mahindra XUV300 2008,2008,1.82,220000.0,Petrol,Trustmark Dealer,Manual,First Owner
Mahindra Bolero 2022,2022,7.98,25600.0,CNG,Dealer,Manual,First Owner
Tata Harrier 2020,2020,5.44,34703.0,petrol,Individual,Automatic,First Owner
Tata Nexon 2008,2008,1.02,220000.0,petrol,Individual,Manual,First Owner
Mahindra Bolero 2009,2009,1.67,216057.0,cng,Dealer,Manual,Second Owner
Ford Figo 2013,2013,2.2,154766.0,Petrol,Individual,Manual,First Owner
Toyota Fortuner 2022,2022,15.54,18667.0,PETROL,Individual,Manual,First Owner
Hyundai Verna 2020,2020,6.09,56178.0,Diesel,Individual,Manual,First Owner
Volkswagen Taigun 2021,2021,7.22,24676.0,diesel,Dealer,Manual,First Owner
Renault Duster 2017,2017,1.82,112008.0,Petrol,Dealer,Manual,First Owner
Skoda Octavia 2017,2017,5.21,119677.0,diesel,Dealer,Manual,Second Owner
Maruti Alto 2017,2017,3.33,106700.0,Diesel,Individual,Automatic,First Owner
Honda Amaze 2013,2013,3.95,135175.0,diesel,Individual,Automatic,First Owner
Hyundai Venue 2013,2013,2.5,147382.0,Diesel,Individual,Manual,First Owner
Tata Nexon 2020,2020,4.87,27761.0,petrol,Dealer,Manual,First Owner
Renault Duster 2007,2007,0.66,220000.0,Diesel,Dealer,Manual,Second Owner
Toyota Innova 2008,2008,3.11,220000.0,Diesel,Dealer,Manual,First Owner
Honda Amaze 2020,2020,8.87,29659.0,diesel,Individual,Automatic,Second Owner
Maruti Baleno 2007,2007,0.69,220000.0,LPG,Trustmark Dealer,Manual,First Owner
Maruti Alto 2016,2016,2.32,120295.0,Diesel,Trustmark Dealer,Manual,First Owner
Volkswagen Taigun 2011,2011,1.83,166774.0,PETROL,Individual,Manual,First Owner
Skoda Rapid 2020,2020,8.79,52438.0,CNG,Dealer,Manual,First Owner
Mahindra Scorpio 2015,2015,4.2,115005.0,diesel,Dealer,Manual,Second Owner
Tata Harrier 2019,2019,3.65,90903.0,Petrol,Individual,Manual,First Owner
Volkswagen Taigun 2013,2013,2.47,147700.0,diesel,Individual,Manual,First Owner
Mahindra Scorpio 2008,2008,1.93,216338.0,diesel,Trustmark Dealer,Manual,First Owner
Volkswagen Vento 2017,2017,4.85,89459.0,Diesel,Trustmark Dealer,Manual,First Owner
Ford Endeavour 2013,2013,2.11,151392.0,petrol,Dealer,Manual,Second Owner
Tata Altroz 2012,2012,1.41,182276.0,petrol,Individual,Manual,First Owner
Volkswagen Taigun 2014,2014,2.5,150918.0,PETROL,Trustmark Dealer,Manual,Second Owner
Hyundai Venue 2021,2021,6.45,55849.0,diesel,Dealer,Manual,Second Owner
Skoda Rapid 2008,2008,2.35,220000.0,diesel,Individual,Automatic,Second Owner
Volkswagen Vento 2015,2015,3.0,158129.0,diesel,Dealer,Manual,First Owner
Tata Nexon 2019,2019,3.19,88095.0,Diesel,Trustmark Dealer,Manual,Third Owner
Maruti Dzire 2013,2013,1.43,170815.0,PETROL,Individual,Manual,First Owner
Maruti Baleno 2016,2016,2.12,100147.0,PETROL,Individual,Manual,Second Owner
Hyundai i10 2009,2009,1.23,220000.0,cng,Dealer,Manual,First Owner
Honda Amaze 2017,2017,5.4,102464.0,PETROL,Individual,Automatic,First Owner
Maruti Baleno 2019,2019,3.36,84047.0,Diesel,Individual,Manual,First Owner
Skoda Octavia 2019,2019,8.52,69575.0,Diesel,Individual,Manual,First Owner
Toyota Etios 2018,2018,8.72,71849.0,LPG,Trustmark Dealer,Manual,First Owner
Volkswagen Polo 2007,2007,1.1,220000.0,cng,Individual,Manual,Second Owner
Toyota Glanza 2015,2015,6.01,127160.0,PETROL,Individual,Manual,First Owner
Tata Nexon 2008,2008,1.12,220000.0,Petrol,Trustmark Dealer,Automatic,Second Owner
Hyundai Venue 2010,2010,1.92,212842.0,diesel,Dealer,Manual,First Owner
Skoda Kushaq 2013,2013,4.09,137638.0,petrol,Individual,Automatic,First Owner
Skoda Octavia 2016,2016,4.89,135583.0,PETROL,Individual,Manual,Second Owner
Tata Tiago 2020,2020,4.29,52427.0,LPG,Dealer,Automatic,Second Owner
Tata Tiago 2007,2007,1.1,220000.0,diesel,Dealer,Manual,First Owner
Honda Jazz 2014,2014,2.79,152364.0,cng,Individual,Manual,First Owner
Renault Triber 2014,2014,1.55,134217.0,Petrol,Individual,Manual,First Owner
Honda WR-V 2007,2007,1.25,220000.0,PETROL,Dealer,Manual,Third Owner
Volkswagen Taigun 2011,2011,1.9,186455.0,diesel,Dealer,Manual,First Owner
Hyundai i20 2008,2008,1.45,220000.0,PETROL,Individual,Automatic,First Owner
Tata Tiago 2016,2016,2.74,106231.0,Petrol,Individual,Manual,First Owner
Maruti Dzire 2014,2014,2.05,123061.0,Diesel,Individual,Manual,First Owner
Renault Triber 2011,2011,0.93,177140.0,Petrol,Individual,Manual,Second Owner
Hyundai i20 2019,2019,4.65,65819.0,cng,Individual,Manual,First Owner
Volkswagen Vento 2013,2013,2.02,179965.0,Petrol,Individual,Manual,Second Owner
Mahindra XUV300 2009,2009,1.75,220000.0,Petrol,Individual,Automatic,Fourth & Above Owner
Maruti Wagon R 2022,2022,4.77,38148.0,Petrol,Trustmark Dealer,Manual,First Owner
Honda Jazz 2011,2011,1.87,195159.0,CNG,Individual,Manual,First Owner
Maruti Alto 2014,2014,1.52,140804.0,petrol,Individual,Manual,Third Owner
Volkswagen Taigun 2013,2013,1.95,169456.0,diesel,Individual,Manual,Third Owner
Hyundai Creta 2008,2008,1.43,220000.0,Diesel,Individual,Manual,First Owner
Skoda Octavia 2009,2009,2.11,220000.0,diesel,Trustmark Dealer,Manual,Second Owner
Volkswagen Polo 2008,2008,1.38,220000.0,diesel,Individual,Manual,Second Owner
Ford Figo 2016,2016,3.46,98546.0,cng,Dealer,Automatic,First Owner
Skoda Rapid 2016,2016,4.67,125438.0,PETROL,Dealer,Manual,First Owner
Mahindra XUV500 2015,2015,4.19,115657.0,Diesel,Trustmark Dealer,Manual,First Owner
Honda City 2016,2016,5.08,118308.0,Diesel,Individual,Automatic,First Owner
Honda WR-V 2010,2010,1.67,178358.0,cng,Dealer,Manual,First Owner
Honda City 2015,2015,4.45,104669.0,diesel,Dealer,Manual,First Owner
Honda Jazz 2008,2008,1.57,220000.0,PETROL,Individual,Manual,Second Owner
Volkswagen Polo 2012,2012,1.72,171488.0,CNG,Individual,Manual,Second Owner
Honda Amaze 2018,2018,6.3,68897.0,cng,Individual,Automatic,Second Owner
Volkswagen Vento 2013,2013,2.0,171119.0,petrol,Dealer,Automatic,Fourth & Above Owner
Ford Endeavour 2007,2007,1.25,220000.0,petrol,Individual,Automatic,Third Owner
Renault Kwid 2007,2007,0.6,220000.0,PETROL,Individual,Manual,First Owner
Mahindra Bolero 2020,2020,7.43,41217.0,Diesel,Dealer,Manual,Second Owner
Renault Triber 2020,2020,2.76,51589.0,petrol,Dealer,Manual,Second Owner
Toyota Etios 2011,2011,3.0,159894.0,petrol,Dealer,Manual,Third Owner
Mahindra Bolero 2022,2022,10.65,12763.0,PETROL,Individual,Automatic,First Owner
Volkswagen Vento 2009,2009,1.61,220000.0,Diesel,Individual,Manual,First Owner
Renault Kwid 2022,2022,3.82,27391.0,Petrol,Dealer,Automatic,Fourth & Above Owner
Ford EcoSport 2022,2022,8.78,11768.0,diesel,Dealer,Automatic,First Owner
Renault Triber 2017,2017,2.26,92265.0,petrol,Individual,Manual,First Owner
Ford EcoSport 2010,2010,1.58,194273.0,Petrol,Dealer,Manual,Second Owner
Hyundai Verna 2016,2016,3.84,101865.0,cng,Dealer,Automatic,First Owner
Volkswagen Taigun 2015,2015,2.63,159151.0,PETROL,Trustmark Dealer,Automatic,Second Owner
Hyundai i10 2011,2011,1.57,179061.0,PETROL,Dealer,Automatic,Third Owner
Honda Amaze 2012,2012,2.57,169497.0,diesel,Individual,Manual,Second Owner
Hyundai i20 2018,2018,4.11,73733.0,Diesel,Individual,Manual,Second Owner
Toyota Innova 2012,2012,5.64,160740.0,diesel,Dealer,Automatic,First Owner
Ford EcoSport 2009,2009,1.3,216241.0,diesel,Individual,Manual,Fourth & Above Owner
Renault Kwid 2009,2009,1.0,220000.0,Diesel,Individual,Automatic,First Owner
Toyota Glanza 2009,2009,3.1,220000.0,PETROL,Individual,Manual,Second Owner
Maruti Wagon R 2008,2008,0.65,220000.0,CNG,Individual,Manual,Third Owner
Ford Figo 2014,2014,2.68,141172.0,Petrol,Dealer,Manual,Second Owner
Honda City 2017,2017,5.28,113038.0,Diesel,Individual,Automatic,Second Owner
Toyota Innova 2012,2012,4.33,170949.0,PETROL,Individual,Manual,First Owner
Skoda Octavia 2010,2010,2.41,211017.0,diesel,Dealer,Manual,First Owner
Mahindra Bolero 2013,2013,2.73,166437.0,Petrol,Dealer,Manual,First Owner
Volkswagen Polo 2016,2016,3.23,114148.0,Petrol,Trustmark Dealer,Manual,Second Owner
Maruti Wagon R 2009,2009,1.12,198685.0,Diesel,Individual,Manual,First Owner
Honda Jazz 2008,2008,1.51,207597.0,Diesel,Individual,Manual,Second Owner
Mahindra Scorpio 2012,2012,2.61,170310.0,PETROL,Individual,Manual,First Owner
Renault Duster 2013,2013,1.12,160051.0,diesel,Individual,Manual,Second Owner
Renault Triber 2008,2008,0.62,220000.0,petrol,Individual,Manual,First Owner
Skoda Octavia 2019,2019,6.89,73919.0,CNG,Dealer,Manual,First Owner
Hyundai i10 2017,2017,4.7,89493.0,petrol,Dealer,Automatic,Second Owner
Toyota Innova 2016,2016,8.66,122079.0,Diesel,Trustmark Dealer,Manual,First Owner
Skoda Rapid 2008,2008,2.35,220000.0,diesel,Individual,Automatic,Second Owner
Maruti Alto 2017,2017,2.81,70686.0,Diesel,Trustmark Dealer,Manual,Second Owner
Toyota Innova 2014,2014,6.14,128424.0,petrol,Dealer,Automatic,Fourth & Above Owner
Mahindra XUV300 2016,2016,4.84,112487.0,diesel,Individual,Automatic,Fourth & Above Owner
Ford Endeavour 2016,2016,3.53,123895.0,PETROL,Dealer,Manual,Second Owner
Renault Triber 2013,2013,0.94,170298.0,PETROL,Individual,Manual,First Owner
Renault Duster 2012,2012,1.13,173868.0,diesel,Trustmark Dealer,Manual,First Owner
Volkswagen Vento 2017,2017,5.38,84390.0,diesel,Dealer,Automatic,First Owner
Ford EcoSport 2014,2014,2.09,134162.0,petrol,Individual,Manual,Third Owner
Tata Tiago 2021,2021,4.21,30853.0,PETROL,Individual,Manual,Third Owner
Volkswagen Vento 2022,2022,8.87,31380.0,Petrol,Individual,Automatic,First Owner
Toyota Innova 2009,2009,3.21,215218.0,petrol,Dealer,Manual,First Owner
Renault Kwid 2010,2010,1.13,207395.0,diesel,Individual,Automatic,First Owner
Maruti Alto 2014,2014,2.03,131945.0,diesel,Individual,Automatic,First Owner
Skoda Octavia 2012,2012,3.19,181392.0,cng,Trustmark Dealer,Automatic,First Owner
Ford EcoSport 2007,2007,0.98,220000.0,LPG,Individual,Manual,First Owner
Tata Nexon 2015,2015,2.4,107735.0,Diesel,Individual,Manual,Second Owner
Ford Figo 2019,2019,4.15,83747.0,diesel,Individual,Manual,Second Owner
Mahindra XUV300 2015,2015,3.04,114316.0,LPG,Individual,Manual,First Owner
Skoda Octavia 2018,2018,7.34,91934.0,diesel,Dealer,Manual,First Owner
Mahindra XUV300 2018,2018,5.33,88866.0,Petrol,Individual,Manual,First Owner
Maruti Wagon R 2008,2008,1.1,,,,Automatic,Second Owner
Toyota Fortuner 2012,2012,4.96,181217.0,diesel,Individual,Automatic,First Owner
Hyundai Verna 2021,2021,6.57,35851.0,Petrol,Individual,Manual,First Owner
Ford EcoSport 2020,2020,5.58,56087.0,diesel,Dealer,Manual,Second Owner
Ford Endeavour 2021,2021,7.28,37495.0,PETROL,Individual,Automatic,First Owner
Volkswagen Polo 2012,2012,2.62,163052.0,PETROL,Dealer,Automatic,First Owner
Hyundai Creta 2016,2016,2.28,94591.0,LPG,Individual,Manual,Third Owner
Hyundai i10 2018,2018,3.24,76229.0,LPG,Dealer,Manual,Second Owner
Tata Tiago 2016,2016,2.51,119106.0,Petrol,Individual,Manual,Second Owner
Mahindra Bolero 2015,2015,3.71,119080.0,diesel,Individual,Manual,Second Owner
Toyota Glanza 2021,2021,10.35,49761.0,LPG,Dealer,Manual,Second Owner
Tata Nexon 2010,2010,1.24,220000.0,petrol,Dealer,Manual,Second Owner
Honda Jazz 2015,2015,3.03,142896.0,diesel,Individual,Manual,First Owner
Volkswagen Polo 2017,2017,4.05,104931.0,PETROL,Dealer,Manual,First Owner
Maruti Baleno 2007,2007,0.84,220000.0,diesel,Individual,Manual,Second Owner
Ford EcoSport 2012,2012,1.55,169027.0,diesel,Individual,Manual,Third Owner
Mahindra XUV500 2019,2019,7.22,59038.0,Petrol,Individual,Manual,Second Owner
Honda Amaze 2009,2009,1.58,220000.0,diesel,Individual,Manual,Second Owner
Volkswagen Taigun 2020,2020,6.18,32884.0,Petrol,Dealer,Manual,Second Owner
Renault Triber 2018,2018,2.31,82894.0,petrol,Dealer,Manual,First Owner
Renault Triber 2009,2009,0.8,217880.0,PETROL,Trustmark Dealer,Manual,Second Owner
Volkswagen Vento 2019,2019,4.55,59049.0,PETROL,Trustmark Dealer,Manual,Second Owner
Mahindra XUV500 2022,2022,9.32,22055.0,Diesel,Dealer,Manual,Second Owner
Ford Endeavour 2011,2011,1.82,203237.0,diesel,Individual,Manual,First Owner
Skoda Kushaq 2009,2009,2.03,220000.0,Petrol,Dealer,Manual,Second Owner
Volkswagen Vento 2013,2013,2.67,176509.0,petrol,Trustmark Dealer,Automatic,First Owner
Volkswagen Vento 2014,2014,2.18,158487.0,Petrol,Dealer,Manual,First Owner
Toyota Etios 2017,2017,8.85,107493.0,petrol,Dealer,Manual,First Owner
Toyota Etios 2015,2015,6.43,136688.0,PETROL,Individual,Manual,First Owner
Hyundai i10 2011,2011,1.27,195509.0,petrol,Dealer,Manual,Third Owner
Volkswagen Polo 2013,2013,1.8,151166.0,petrol,Individual,Manual,Third Owner
Maruti Wagon R 2018,2018,3.14,81606.0,diesel,Dealer,Manual,Second Owner
Toyota Etios 2009,2009,3.9,220000.0,diesel,Dealer,Automatic,First Owner
Renault Kwid 2021,2021,3.43,53468.0,Petrol,Individual,Manual,First Owner
Honda WR-V 2018,2018,5.52,77560.0,Petrol,Dealer,Manual,First Owner
Hyundai Creta 2022,2022,7.91,26465.0,Diesel,Individual,Manual,First Owner
Volkswagen Taigun 2020,2020,7.83,32607.0,Diesel,Individual,Automatic,First Owner
Tata Tiago 2010,2010,1.01,218859.0,cng,Individual,Manual,Second Owner
Hyundai Creta 2018,2018,4.24,82581.0,Petrol,Individual,Manual,First Owner
Ford EcoSport 2009,2009,1.52,220000.0,petrol,Individual,Automatic,First Owner
Maruti Dzire 2015,2015,2.26,109298.0,PETROL,Individual,Manual,First Owner
Hyundai i10 2016,2016,3.44,107349.0,diesel,Individual,Manual,First Owner
Tata Altroz 2018,2018,3.65,64068.0,diesel,Individual,Manual,First Owner
Tata Nexon 2017,2017,3.03,84805.0,diesel,Individual,Manual,First Owner
Ford Endeavour 2020,2020,6.02,51224.0,diesel,Individual,Manual,First Owner
Renault Triber 2008,2008,0.74,220000.0,petrol,Individual,Manual,First Owner
Skoda Rapid 2011,2011,2.15,195791.0,PETROL,Dealer,Manual,Second Owner
Renault Duster 2021,2021,2.51,43383.0,CNG,Individual,Manual,Third Owner
Toyota Etios 2019,2019,10.02,74481.0,Diesel,Trustmark Dealer,Manual,First Owner
Maruti Baleno 2007,2007,0.87,220000.0,petrol,Dealer,Automatic,First Owner
Hyundai i20 2009,2009,1.64,220000.0,diesel,Dealer,Manual,First Owner
Honda WR-V 2007,2007,1.61,220000.0,petrol,Individual,Automatic,Second Owner
Hyundai Creta 2022,2022,8.87,914.0,PETROL,Individual,Automatic,First Owner
Maruti Alto 2007,2007,0.77,220000.0,PETROL,Dealer,Manual,Second Owner
Maruti Wagon R 2013,2013,1.57,153764.0,Diesel,Individual,Manual,Second Owner
Volkswagen Vento 2017,2017,4.35,81063.0,diesel,Dealer,Manual,Second Owner
Renault Triber 2016,2016,2.32,110948.0,petrol,Individual,Automatic,First Owner
Ford Endeavour 2012,2012,2.08,171602.0,PETROL,Dealer,Automatic,Second Owner
Mahindra Bolero 2019,2019,6.16,65590.0,diesel,Dealer,Manual,Second Owner
Hyundai i10 2014,2014,2.49,134545.0,petrol,Individual,Manual,Second Owner
Mahindra Scorpio 2007,2007,1.16,220000.0,CNG,Individual,Manual,Third Owner
Volkswagen Taigun 2007,2007,1.62,220000.0,PETROL,Individual,Automatic,First Owner
Volkswagen Vento 2009,2009,1.46,206558.0,Petrol,Dealer,Manual,Second Owner
Skoda Kushaq 2016,2016,4.88,130423.0,Petrol,Dealer,Automatic,Second Owner
Toyota Etios 2013,2013,5.43,142418.0,Diesel,Dealer,Manual,Second Owner
Toyota Glanza 2009,2009,3.15,218903.0,diesel,Dealer,Manual,First Owner
Hyundai Creta 2011,2011,1.77,195274.0,diesel,Dealer,Manual,First Owner
Renault Triber 2015,2015,1.97,130330.0,PETROL,Individual,Automatic,Second Owner
Honda City 2017,2017,4.26,,,,Manual,First Owner
Skoda Rapid 2019,2019,7.35,56871.0,CNG,Dealer,Manual,First Owner
Renault Duster 2014,2014,1.45,125255.0,Petrol,Individual,Manual,Second Owner
Honda WR-V 2019,2019,6.24,81314.0,CNG,Dealer,Automatic,First Owner
Honda Amaze 2015,2015,3.96,143277.0,Diesel,Dealer,Automatic,Second Owner
Honda Jazz 2013,2013,2.77,152237.0,PETROL,Dealer,Manual,First Owner
Volkswagen Taigun 2010,2010,1.7,191762.0,Petrol,Dealer,Manual,First Owner
Toyota Innova 2011,2011,3.92,202708.0,Diesel,Trustmark Dealer,Automatic,Third Owner
Honda WR-V 2014,2014,3.44,146129.0,diesel,Dealer,Automatic,Second Owner
Ford EcoSport 2007,2007,1.21,220000.0,PETROL,Dealer,Automatic,Second Owner
Toyota Innova 2016,2016,6.33,116998.0,PETROL,Dealer,Manual,Third Owner
Tata Harrier 2009,2009,1.05,220000.0,petrol,Dealer,Manual,First Owner
Volkswagen Vento 2012,2012,2.7,167993.0,diesel,Individual,Automatic,First Owner
Honda City 2019,2019,8.68,45216.0,diesel,Individual,Automatic,First Owner
Mahindra XUV300 2010,2010,2.22,187439.0,diesel,Individual,Manual,First Owner
