Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area
Assam, 01-10-2019,Monthly,10.48,4688515,41.99,Urban
Assam, 01-11-2019,Monthly,11.1,4540008,42.67,Urban
Assam, 01-12-2019,Monthly,10.68,4569472,43.25,Urban
Assam, 01-01-2020,Monthly,10.45,4523093,44.32,Urban
Assam, 01-02-2020,Monthly,10.8,4692110,42.29,Urban
Assam, 01-03-2020,Monthly,11.68,4345549,43.92,Urban
Assam, 01-04-2020,Monthly,40.18,3659939,40.04,Urban
Assam, 01-05-2020,Monthly,29.84,4060322,41.71,Urban
Assam, 01-06-2020,Monthly,23.02,4221683,43.06,Urban
Assam, 01-07-2020,Monthly,16.92,4320250,44.21,Urban
Assam, 01-08-2020,Monthly,18.72,4162379,41.12,Urban
Assam, 01-09-2020,Monthly,14.06,4434717,43.32,Urban
Assam, 01-10-2020,Monthly,14.32,4409035,44.05,Urban
Bihar, 01-01-2019,Monthly,6.78,9343132,50.28,Rural
Bihar, 01-02-2019,Monthly,7.6,9072245,49.72,Rural
Bihar, 01-03-2019,Monthly,8.24,9278834,47.95,Rural
Bihar, 01-04-2019,Monthly,6.82,9387345,48.84,Rural
Bihar, 01-05-2019,Monthly,7.55,9246290,49.59,Rural
Bihar, 01-06-2019,Monthly,7.09,8768848,53.29,Rural
Bihar, 01-07-2019,Monthly,6.91,9308997,51.56,Rural
Bihar, 01-08-2019,Monthly,7.91,9025454,50.94,Rural
Bihar, 01-09-2019,Monthly,7.43,9291196,52.37,Rural
Bihar, 01-10-2019,Monthly,6.81,9045715,52.68,Rural
Bihar, 01-11-2019,Monthly,5.87,9510717,50.18,Rural
Bihar, 01-12-2019,Monthly,7.09,9026347,50.56,Rural
Bihar, 01-01-2020,Monthly,7.85,9247748,51.37,Rural
Bihar, 01-02-2020,Monthly,7.15,8883528,49.37,Rural
Bihar, 01-03-2020,Monthly,6.89,9246757,50.74,Rural
Bihar, 01-04-2020,Monthly,37.58,7417348,44.99,Rural
Bihar, 01-05-2020,Monthly,38.0,7438726,45.56,Rural
Bihar, 01-06-2020,Monthly,21.23,8485907,48.96,Rural
Bihar, 01-07-2020,Monthly,10.25,9144968,47.97,Rural
Bihar, 01-08-2020,Monthly,11.5,8520145,49.26,Rural
Bihar, 01-09-2020,Monthly,8.7,9124803,51.08,Rural
Bihar, 01-10-2020,Monthly,9.16,8793862,53.16,Rural
Bihar, 01-01-2019,Monthly,9.8,12611897,48.49,Urban
Bihar, 01-02-2019,Monthly,9.9,12693723,52.91,Urban
Bihar, 01-03-2019,Monthly,8.14,12712203,51.07,Urban
Bihar, 01-04-2019,Monthly,9.12,12671413,51.99,Urban
Bihar, 01-05-2019,Monthly,8.45,12804220,51.24,Urban
Bihar, 01-06-2019,Monthly,9.4,12945403,49.37,Urban
Bihar, 01-07-2019,Monthly,8.17,13192210,51.56,Urban
Bihar, 01-08-2019,Monthly,8.64,13223123,51.23,Urban
Bihar, 01-09-2019,Monthly,9.8,12748561,54.15,Urban
Bihar, 01-10-2019,Monthly,10.15,12640065,52.52,Urban
Bihar, 01-11-2019,Monthly,9.48,13106572,49.61,Urban
Bihar, 01-12-2019,Monthly,9.5,13025401,48.42,Urban
Bihar, 01-01-2020,Monthly,8.38,12322480,50.65,Urban
Bihar, 01-02-2020,Monthly,9.52,13137072,51.17,Urban
Bihar, 01-03-2020,Monthly,10.07,12358682,48.5,Urban
Bihar, 01-04-2020,Monthly,30.95,11013779,48.38,Urban
Bihar, 01-05-2020,Monthly,28.24,11385164,48.62,Urban
Bihar, 01-06-2020,Monthly,17.98,12247565,49.2,Urban
Bihar, 01-07-2020,Monthly,13.87,12525996,49.46,Urban
Bihar, 01-08-2020,Monthly,12.5,12153226,50.19,Urban
Bihar, 01-09-2020,Monthly,12.36,12532101,49.69,Urban
Bihar, 01-10-2020,Monthly,12.84,12697092,49.58,Urban
Chhattisgarh, 01-01-2019,Monthly,5.96,5671180,52.04,Rural
Chhattisgarh, 01-02-2019,Monthly,6.11,5736055,45.19,Rural
Chhattisgarh, 01-03-2019,Monthly,6.8,5669340,48.52,Rural
Chhattisgarh, 01-04-2019,Monthly,6.87,5668657,48.59,Rural
Chhattisgarh, 01-05-2019,Monthly,7.21,5485561,47.26,Rural
Chhattisgarh, 01-06-2019,Monthly,5.75,5799971,48.4,Rural
Chhattisgarh, 01-07-2019,Monthly,5.66,5748899,47.32,Rural
Chhattisgarh, 01-08-2019,Monthly,6.08,5835069,49.84,Rural
Chhattisgarh, 01-09-2019,Monthly,6.93,5854740,47.16,Rural
Chhattisgarh, 01-10-2019,Monthly,6.29,6077695,50.0,Rural
Chhattisgarh, 01-11-2019,Monthly,6.03,5995546,47.89,Rural
Chhattisgarh, 01-12-2019,Monthly,5.89,5978976,46.51,Rural
Chhattisgarh, 01-01-2020,Monthly,5.14,5953651,48.52,Rural
Chhattisgarh, 01-02-2020,Monthly,6.37,5757413,48.12,Rural
Chhattisgarh, 01-03-2020,Monthly,6.02,5739276,47.9,Rural
Chhattisgarh, 01-04-2020,Monthly,25.32,5118645,44.34,Rural
Chhattisgarh, 01-05-2020,Monthly,27.68,5019700,45.66,Rural
Chhattisgarh, 01-06-2020,Monthly,16.52,5486509,45.5,Rural
Chhattisgarh, 01-07-2020,Monthly,15.16,5658637,48.73,Rural
Chhattisgarh, 01-08-2020,Monthly,9.77,5589614,45.18,Rural
Chhattisgarh, 01-09-2020,Monthly,8.54,5685688,45.81,Rural
Chhattisgarh, 01-10-2020,Monthly,9.51,5678004,46.25,Rural
Chhattisgarh, 01-01-2019,Monthly,7.78,4323337,46.97,Urban
Chhattisgarh, 01-02-2019,Monthly,7.95,4424923,43.76,Urban
Chhattisgarh, 01-03-2019,Monthly,8.61,4458928,41.75,Urban
Chhattisgarh, 01-04-2019,Monthly,7.81,4406073,45.15,Urban
Chhattisgarh, 01-05-2019,Monthly,8.51,4284199,45.59,Urban
Chhattisgarh, 01-06-2019,Monthly,8.2,4446738,45.84,Urban
Chhattisgarh, 01-07-2019,Monthly,8.49,4301409,44.72,Urban
Chhattisgarh, 01-08-2019,Monthly,8.03,4384123,44.82,Urban
Chhattisgarh, 01-09-2019,Monthly,8.47,4517981,46.76,Urban
Chhattisgarh, 01-10-2019,Monthly,8.1,4452513,44.84,Urban
Chhattisgarh, 01-11-2019,Monthly,7.07,4287990,42.65,Urban
Chhattisgarh, 01-12-2019,Monthly,8.08,4350075,47.97,Urban
Chhattisgarh, 01-01-2020,Monthly,8.49,4318305,46.7,Urban
Chhattisgarh, 01-02-2020,Monthly,6.97,4399704,46.61,Urban
Chhattisgarh, 01-03-2020,Monthly,7.4,4466912,45.96,Urban
Chhattisgarh, 01-04-2020,Monthly,32.34,3754331,41.93,Urban
Chhattisgarh, 01-05-2020,Monthly,34.85,3553151,42.68,Urban
Chhattisgarh, 01-06-2020,Monthly,16.05,4254765,44.82,Urban
Chhattisgarh, 01-07-2020,Monthly,16.3,4081096,43.94,Urban
Chhattisgarh, 01-08-2020,Monthly,14.69,4131599,43.58,Urban
Chhattisgarh, 01-09-2020,Monthly,11.98,4356550,45.6,Urban
Chhattisgarh, 01-10-2020,Monthly,11.17,4173427,44.42,Urban
Delhi, 01-01-2019,Monthly,3.1,9748114,50.99,Rural
Delhi, 01-02-2019,Monthly,5.22,10049960,50.79,Rural
Delhi, 01-03-2019,Monthly,4.71,10242712,51.04,Rural
Delhi, 01-04-2019,Monthly,3.9,10224375,49.01,Rural
Delhi, 01-05-2019,Monthly,2.83,10626781,50.99,Rural
Delhi, 01-06-2019,Monthly,3.7,10167903,51.89,Rural
Delhi, 01-07-2019,Monthly,5.16,10200616,49.84,Rural
Delhi, 01-08-2019,Monthly,3.56,10413418,49.84,Rural
Delhi, 01-09-2019,Monthly,4.15,9686592,50.37,Rural
Delhi, 01-10-2019,Monthly,4.01,10424736,49.49,Rural
Delhi, 01-11-2019,Monthly,2.73,10192963,,Rural
Delhi, 01-12-2019,Monthly,3.55,10194271,48.74,Rural
Delhi, 01-01-2020,Monthly,4.12,10127924,52.34,Rural
Delhi, 01-02-2020,Monthly,2.53,10050514,51.49,Rural
Delhi, 01-03-2020,Monthly,3.16,10186376,50.72,Rural
Delhi, 01-04-2020,Monthly,27.66,8690758,47.09,Rural
Delhi, 01-05-2020,Monthly,21.72,9088081,51.85,Rural
Delhi, 01-06-2020,Monthly,11.5,9649211,51.7,Rural
Delhi, 01-07-2020,Monthly,8.01,9670530,48.11,Rural
Delhi, 01-08-2020,Monthly,7.67,9658273,48.97,Rural
Delhi, 01-09-2020,Monthly,6.35,10006402,51.01,Rural
Delhi, 01-10-2020,Monthly,6.15,10177765,48.58,Rural
Delhi, 01-01-2019,Monthly,5.32,5029667,36.44,Urban
Delhi, 01-02-2019,Monthly,6.06,4934163,37.71,Urban
Delhi, 01-03-2019,Monthly,6.06,5002085,37.73,Urban
Delhi, 01-04-2019,Monthly,6.33,4842707,39.2,Urban
Delhi, 01-05-2019,Monthly,5.99,4929506,38.77,Urban
Delhi, 01-06-2019,Monthly,4.89,5086673,38.0,Urban
Delhi, 01-07-2019,Monthly,5.32,5085383,37.22,Urban
Delhi, 01-08-2019,Monthly,4.79,4841711,39.18,Urban
Delhi, 01-09-2019,Monthly,4.87,5170219,35.15,Urban
Delhi, 01-10-2019,Monthly,6.65,4960625,38.13,Urban
Delhi, 01-11-2019,Monthly,5.31,5021058,38.22,Urban
Delhi, 01-12-2019,Monthly,6.3,4962075,38.5,Urban
Delhi, 01-01-2020,Monthly,5.42,4972266,38.74,Urban
Delhi, 01-02-2020,Monthly,4.61,4867981,39.39,Urban
Delhi, 01-03-2020,Monthly,5.74,4949755,38.3,Urban
Delhi, 01-04-2020,Monthly,23.42,4278068,36.47,Urban
Delhi, 01-05-2020,Monthly,29.57,4272453,35.16,Urban
Delhi, 01-06-2020,Monthly,19.03,4466223,37.12,Urban
Delhi, 01-07-2020,Monthly,12.1,4649429,36.2,Urban
Delhi, 01-08-2020,Monthly,9.48,4818663,38.0,Urban
Delhi, 01-09-2020,Monthly,8.08,4758062,36.47,Urban
Delhi, 01-10-2020,Monthly,7.98,4955008,35.17,Urban
Goa, 01-01-2019,Monthly,3.69,11089545,45.58,Rural
Goa, 01-02-2019,Monthly,2.72,11114471,43.68,Rural
Goa, 01-03-2019,Monthly,2.62,11342176,44.14,Rural
Goa, 01-04-2019,Monthly,3.78,11083714,44.16,Rural
Goa, 01-05-2019,Monthly,4.82,10963135,42.33,Rural
Goa, 01-06-2019,Monthly,3.4,11180787,45.46,Rural
Goa, 01-07-2019,Monthly,2.98,11304418,42.02,Rural
Goa, 01-08-2019,Monthly,4.32,10716861,44.33,Rural
Goa, 01-09-2019,Monthly,4.27,11036886,45.89,Rural
Goa, 01-10-2019,Monthly,4.01,11312404,46.26,Rural
Goa, 01-11-2019,Monthly,3.36,11212477,42.37,Rural
Goa, 01-12-2019,Monthly,3.6,11237198,44.87,Rural
Goa, 01-01-2020,Monthly,3.9,10988613,46.36,Rural
Goa, 01-02-2020,Monthly,3.59,10954196,45.99,Rural
Goa, 01-03-2020,Monthly,2.79,11222359,43.1,Rural
Goa, 01-04-2020,Monthly,30.27,9213158,40.12,Rural
Goa, 01-05-2020,Monthly,26.34,9713185,42.5,Rural
Goa, 01-06-2020,Monthly,16.73,10182597,44.32,Rural
Goa, 01-07-2020,Monthly,12.07,10339054,42.75,Rural
Goa, 01-08-2020,Monthly,8.28,10643111,45.92,Rural
Goa, 01-09-2020,Monthly,5.38,11109432,43.87,Rural
Goa, 01-10-2020,Monthly,5.01,10740252,43.23,Rural
Goa, 01-01-2019,Monthly,5.62,4074221,40.92,Urban
Goa, 01-02-2019,Monthly,5.04,4149903,38.27,Urban
Goa, 01-03-2019,Monthly,5.61,4110182,36.91,Urban
Goa, 01-04-2019,Monthly,5.87,4062403,39.33,Urban
Goa, 01-05-2019,Monthly,5.81,4249228,37.63,Urban
Goa, 01-06-2019,Monthly,5.32,4012090,37.76,Urban
Goa, 01-07-2019,Monthly,5.25,4160982,40.72,Urban
Goa, 01-08-2019,Monthly,5.29,3995681,39.3,Urban
Goa, 01-09-2019,Monthly,5.3,4114476,38.89,Urban
Goa, 01-10-2019,Monthly,4.73,4203803,41.28,Urban
Goa, 01-11-2019,Monthly,5.27,4032447,39.02,Urban
Goa, 01-12-2019,Monthly,5.84,4102985,41.6,Urban
Goa, 01-01-2020,Monthly,5.53,3992594,36.52,Urban
Goa, 01-02-2020,Monthly,5.2,4063050,41.28,Urban
Goa, 01-03-2020,Monthly,5.33,4080704,38.56,Urban
Goa, 01-04-2020,Monthly,28.56,3561389,35.77,Urban
Goa, 01-05-2020,Monthly,26.26,3665913,36.43,Urban
Goa, 01-06-2020,Monthly,19.8,3767066,37.06,Urban
Goa, 01-07-2020,Monthly,13.46,3896712,39.09,Urban
Goa, 01-08-2020,Monthly,12.43,3833190,38.4,Urban
Goa, 01-09-2020,Monthly,9.18,3977142,39.85,Urban
Goa, 01-10-2020,Monthly,6.63,4063429,38.97,Urban
Gujarat, 01-01-2019,Monthly,3.54,3865143,45.14,Rural
Gujarat, 01-02-2019,Monthly,3.1,4054658,43.08,Rural
Gujarat, 01-03-2019,Monthly,3.95,3990866,45.5,Rural
Gujarat, 01-04-2019,Monthly,2.81,4044736,45.18,Rural
Gujarat, 01-05-2019,Monthly,3.77,3863393,45.37,Rural
Gujarat, 01-06-2019,Monthly,3.29,3974938,44.5,Rural
Gujarat, 01-07-2019,Monthly,2.83,4015089,42.39,Rural
Gujarat, 01-08-2019,Monthly,3.63,3943421,45.3,Rural
Gujarat, 01-09-2019,Monthly,3.27,3948452,44.91,Rural
Gujarat, 01-10-2019,Monthly,1.83,4084562,46.72,Rural
Gujarat, 01-11-2019,Monthly,2.03,3988032,43.26,Rural
Gujarat, 01-12-2019,Monthly,2.94,4050270,46.59,Rural
Gujarat, 01-01-2020,Monthly,3.72,4083659,44.77,Rural
Gujarat, 01-02-2020,Monthly,2.36,4003405,46.05,Rural
Gujarat, 01-03-2020,Monthly,2.31,4147047,46.45,Rural
Gujarat, 01-04-2020,Monthly,21.37,3459447,44.5,Rural
Gujarat, 01-05-2020,Monthly,31.32,3303520,41.31,Rural
Gujarat, 01-06-2020,Monthly,17.12,3693686,43.64,Rural
Gujarat, 01-07-2020,Monthly,9.29,3868289,45.96,Rural
Gujarat, 01-08-2020,Monthly,8.75,3804362,46.99,Rural
Gujarat, 01-09-2020,Monthly,4.21,3966404,42.48,Rural
Gujarat, 01-10-2020,Monthly,6.78,3869823,41.76,Rural
Gujarat, 01-01-2019,Monthly,4.78,4433545,35.79,Urban
Gujarat, 01-02-2019,Monthly,5.5,4711379,38.8,Urban
Gujarat, 01-03-2019,Monthly,4.47,4663856,38.16,Urban
Gujarat, 01-04-2019,Monthly,4.35,4812082,39.48,Urban
Gujarat, 01-05-2019,Monthly,4.92,4657931,,Urban
Gujarat, 01-06-2019,Monthly,3.82,4663701,37.14,Urban
Gujarat, 01-07-2019,Monthly,4.45,4642660,40.86,Urban
Gujarat, 01-08-2019,Monthly,5.43,4587534,39.02,Urban
Gujarat, 01-09-2019,Monthly,5.89,4713020,38.25,Urban
Gujarat, 01-10-2019,Monthly,4.66,4727897,38.75,Urban
Gujarat, 01-11-2019,Monthly,5.59,4695048,39.74,Urban
Gujarat, 01-12-2019,Monthly,4.73,4783658,38.46,Urban
Gujarat, 01-01-2020,Monthly,6.29,4552152,40.77,Urban
Gujarat, 01-02-2020,Monthly,5.17,4587636,37.44,Urban
Gujarat, 01-03-2020,Monthly,4.86,4696652,38.95,Urban
Gujarat, 01-04-2020,Monthly,29.58,4179382,34.29,Urban
Gujarat, 01-05-2020,Monthly,30.86,3918121,35.21,Urban
Gujarat, 01-06-2020,Monthly,13.01,4518899,36.71,Urban
Gujarat, 01-07-2020,Monthly,11.39,4609648,35.33,Urban
Gujarat, 01-08-2020,Monthly,12.11,4309474,39.97,Urban
Gujarat, 01-09-2020,Monthly,8.87,4538083,37.43,Urban
Gujarat, 01-10-2020,Monthly,7.41,4657052,38.16,Urban
Haryana, 01-01-2019,Monthly,8.72,10444444,41.55,Rural
Haryana, 01-02-2019,Monthly,7.49,10432320,40.51,Rural
Haryana, 01-03-2019,Monthly,6.91,10392402,40.71,Rural
Haryana, 01-04-2019,Monthly,8.53,9836748,41.3,Rural
Haryana, 01-05-2019,Monthly,7.2,10449850,41.51,Rural
Haryana, 01-06-2019,Monthly,7.84,10508779,39.08,Rural
Haryana, 01-07-2019,Monthly,8.56,10149335,38.62,Rural
Haryana, 01-08-2019,Monthly,7.73,9915393,41.33,Rural
Haryana, 01-09-2019,Monthly,7.74,10603875,41.92,Rural
Haryana, 01-10-2019,Monthly,7.06,10218530,41.73,Rural
Haryana, 01-11-2019,Monthly,8.41,10557279,42.77,Rural
Haryana, 01-12-2019,Monthly,7.84,10416917,42.9,Rural
Haryana, 01-01-2020,Monthly,7.72,10428864,40.46,Rural
Haryana, 01-02-2020,Monthly,7.57,10369959,39.92,Rural
Haryana, 01-03-2020,Monthly,7.82,10129422,40.66,Rural
Haryana, 01-04-2020,Monthly,30.77,9010885,38.08,Rural
Haryana, 01-05-2020,Monthly,28.46,9528364,36.37,Rural
Haryana, 01-06-2020,Monthly,16.38,10003004,38.15,Rural
Haryana, 01-07-2020,Monthly,12.07,9935528,41.96,Rural
Haryana, 01-08-2020,Monthly,11.68,10267402,41.11,Rural
Haryana, 01-09-2020,Monthly,11.71,10494258,41.82,Rural
Haryana, 01-10-2020,Monthly,10.79,10374225,42.32,Rural
Haryana, 01-01-2019,Monthly,10.88,10272636,41.47,Urban
Haryana, 01-02-2019,Monthly,9.44,10596754,41.51,Urban
Haryana, 01-03-2019,Monthly,10.09,10655977,43.44,Urban
Haryana, 01-04-2019,Monthly,10.17,10509885,42.47,Urban
Haryana, 01-05-2019,Monthly,10.61,10273084,,Urban
Haryana, 01-06-2019,Monthly,10.32,10488636,43.08,Urban
Haryana, 01-07-2019,Monthly,9.81,10612485,40.76,Urban
Haryana, 01-08-2019,Monthly,9.91,10347238,38.86,Urban
Haryana, 01-09-2019,Monthly,10.85,10337138,39.53,Urban
Haryana, 01-10-2019,Monthly,8.61,10530701,39.03,Urban
Haryana, 01-11-2019,Monthly,10.88,10725665,39.99,Urban
Haryana, 01-12-2019,Monthly,11.25,10694564,40.53,Urban
Haryana, 01-01-2020,Monthly,8.4,11170421,38.94,Urban
Haryana, 01-02-2020,Monthly,8.91,10864183,44.68,Urban
Haryana, 01-03-2020,Monthly,10.73,10642460,41.91,Urban
Haryana, 01-04-2020,Monthly,39.74,8522408,37.21,Urban
Haryana, 01-05-2020,Monthly,38.35,8611011,34.14,Urban
Haryana, 01-06-2020,Monthly,20.12,10082159,38.55,Urban
Haryana, 01-07-2020,Monthly,16.14,9839178,38.68,Urban
Haryana, 01-08-2020,Monthly,15.53,10172335,40.02,Urban
Haryana, 01-09-2020,Monthly,13.0,10093489,39.66,Urban
Haryana, 01-10-2020,Monthly,12.79,10674760,40.5,Urban
Himachal Pradesh, 01-01-2019,Monthly,6.59,4312473,47.51,Rural
Himachal Pradesh, 01-02-2019,Monthly,6.54,4277488,46.3,Rural
Himachal Pradesh, 01-03-2019,Monthly,6.61,4188563,47.43,Rural
Himachal Pradesh, 01-04-2019,Monthly,6.13,4289208,46.83,Rural
Himachal Pradesh, 01-05-2019,Monthly,6.75,4235847,46.91,Rural
Himachal Pradesh, 01-06-2019,Monthly,5.97,4474248,44.46,Rural
Himachal Pradesh, 01-07-2019,Monthly,6.45,4236927,49.04,Rural
Himachal Pradesh, 01-08-2019,Monthly,5.56,4373449,44.6,Rural
Himachal Pradesh, 01-09-2019,Monthly,6.09,4352944,47.54,Rural
Himachal Pradesh, 01-10-2019,Monthly,7.28,4150317,46.1,Rural
Himachal Pradesh, 01-11-2019,Monthly,7.18,4140164,46.17,Rural
Himachal Pradesh, 01-12-2019,Monthly,6.31,4343858,44.54,Rural
Himachal Pradesh, 01-01-2020,Monthly,5.45,4165525,47.17,Rural
Himachal Pradesh, 01-02-2020,Monthly,6.97,4316283,44.9,Rural
Himachal Pradesh, 01-03-2020,Monthly,5.33,4383103,44.05,Rural
Himachal Pradesh, 01-04-2020,Monthly,26.2,3776110,41.5,Rural
Himachal Pradesh, 01-05-2020,Monthly,21.95,3942443,44.85,Rural
Himachal Pradesh, 01-06-2020,Monthly,19.58,3793981,44.28,Rural
Himachal Pradesh, 01-07-2020,Monthly,11.39,4333980,44.61,Rural
Himachal Pradesh, 01-08-2020,Monthly,10.64,4238403,45.32,Rural
Himachal Pradesh, 01-09-2020,Monthly,7.24,4336999,44.1,Rural
Himachal Pradesh, 01-10-2020,Monthly,8.71,4181207,47.2,Rural
Himachal Pradesh, 01-01-2019,Monthly,7.65,12087647,49.13,Urban
Himachal Pradesh, 01-02-2019,Monthly,8.39,12669633,47.9,Urban
Himachal Pradesh, 01-03-2019,Monthly,8.42,12030834,47.51,Urban
Himachal Pradesh, 01-04-2019,Monthly,8.22,12293155,48.74,Urban
Himachal Pradesh, 01-05-2019,Monthly,7.84,11827062,44.55,Urban
Himachal Pradesh, 01-06-2019,Monthly,8.61,11824353,44.08,Urban
Himachal Pradesh, 01-07-2019,Monthly,8.54,12699793,47.3,Urban
Himachal Pradesh, 01-08-2019,Monthly,8.81,12095767,47.16,Urban
Himachal Pradesh, 01-09-2019,Monthly,8.86,12002219,47.71,Urban
Himachal Pradesh, 01-10-2019,Monthly,8.5,11938050,48.8,Urban
Himachal Pradesh, 01-11-2019,Monthly,8.2,11939290,48.11,Urban
Himachal Pradesh, 01-12-2019,Monthly,7.77,12162581,47.3,Urban
Himachal Pradesh, 01-01-2020,Monthly,8.96,12179189,47.27,Urban
Himachal Pradesh, 01-02-2020,Monthly,8.8,12412744,48.15,Urban
Himachal Pradesh, 01-03-2020,Monthly,8.31,11796183,45.71,Urban
Himachal Pradesh, 01-04-2020,Monthly,28.64,10666491,44.31,Urban
Himachal Pradesh, 01-05-2020,Monthly,29.83,10054172,42.68,Urban
Himachal Pradesh, 01-06-2020,Monthly,21.35,11237009,43.42,Urban
